Night Shift Loop 2 completato.

## Riepilogo Loop 2

**Commit:** `ff417b9` (implementazione) + `a893cbb` (docs)

| Categoria | Task | Stato |
|-----------|------|-------|
| SEC | TASK-2: Validazione DETECTED_RUNNER | APPLICATA |
| BUG | TASK-3: Fix confronto score negativi | APPLICATA |
| BUG | TASK-4: Pattern changelog con ancoraggi | APPLICATA |
| BUG | TASK-5: Status.json update su failure | APPLICATA |
| QUALITY | TASK-6: PIPESTATUS[0] per verbose mode | APPLICATA |
| QUALITY | TASK-8: Rimozione update_status() morta | APPLICATA |
| QUALITY | TASK-9: Makefile detection single-read | APPLICATA |
| PERF | TASK-10: Follow mode glob dinamico | APPLICATA |
| SEC | TASK-1: Permissioni sub-agent incomplete | URGENTE |
| QUALITY | TASK-7: jq+printf semplificazione | SKIPPATA |

**Test:** 27 passed, 0 failed | **Rollback:** 0 | **Applicati:** 8/10
